2009-02	3833950
2009-05	3563489
2009-08	3925784
2009-11	6829237
2010-01	11181797
2010-04	8734879
2010-07	8228165
2010-10	5985907
2011-03	5972272
2011-06	4501475
2009-03	4182692
2009-06	3676736
2009-09	4839847
2009-12	9107128
2010-02	9465825
2010-05	9255034
2010-08	7404375
2010-11	6143992
2011-01	6902904
2011-04	6008061
2011-07	4471513
2009-01	2614282
2009-04	3857353
2009-07	3914410
2009-10	5758467
2010-03	10655960
2010-06	7786403
2010-09	6475316
2010-12	6573573
2011-02	5556672
2011-05	4948456
2011-08	1215942
